0
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Period, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Period, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Netpay, Porosity, Permeability, Gross, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Permeability'), ('Lithology', 'Gross')]""]"
"[-6400.83, '[Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Lithology]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Period]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Tectonic regime, Gross]', ""[('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Netpay, Porosity, Permeability, Depth, Lithology, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Tectonic regime, Gross]', ""[('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Permeability, Depth, Porosity, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
