0,1,2
-7581.19,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Bot'), ('Layer', 'Bot'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Top', 'Saturation'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Saturation'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Layer')]"
-8497.91,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'NetPay'), ('Porosity', 'Saturation'), ('Porosity', 'Permeability'), ('Permeability', 'Layer'), ('Water Saturation Irreducible', 'Gross')]"
-6921.6,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Saturation'), ('Well', 'Permeability'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Layer'), ('Gross', 'NetPay'), ('Saturation', 'Permeability'), ('NetPay', 'Layer'), ('Porosity', 'Saturation'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Saturation')]"
-7566.79,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Layer', 'Permeability'), ('Top', 'Well'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Saturation'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Layer'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Layer')]"
-8573.77,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Gross'), ('Well', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Saturation'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Layer')]"
-7527.8,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Layer'), ('Bot', 'Top'), ('Gross', 'Well'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]"
-6574.49,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Layer'), ('Well', 'Porosity'), ('Layer', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible')]"
-6881.78,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Layer'), ('Well', 'Top'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Saturation'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Saturation'), ('Permeability', 'Water Saturation Irreducible')]"
-7296.69,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Gross'), ('Layer', 'Top'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Porosity', 'Layer'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Saturation'), ('Water Saturation Irreducible', 'Permeability')]"
-7038.23,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Porosity'), ('Layer', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Saturation'), ('NetPay', 'Gross'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible')]"
