0,1,2
-6870.59,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Layer'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Top', 'Well'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Porosity', 'Layer'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]"
-6162.51,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Bot'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Saturation'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Gross'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Layer'), ('Water Saturation Irreducible', 'Gross')]"
-6964.31,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Layer', 'Bot'), ('Layer', 'Porosity'), ('Top', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'Porosity'), ('NetPay', 'Saturation'), ('NetPay', 'Permeability'), ('Porosity', 'Water Saturation Irreducible')]"
-6544.34,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Porosity'), ('Well', 'Permeability'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Layer'), ('Bot', 'Top'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Permeability')]"
-6655.59,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Layer', 'Bot'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Saturation')]"
-6508.91,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'Saturation'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Saturation'), ('Water Saturation Irreducible', 'NetPay')]"
-6799.56,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Layer'), ('Well', 'Bot'), ('Well', 'NetPay'), ('Layer', 'Top'), ('Layer', 'Bot'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Saturation'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Permeability')]"
-6796.33,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'NetPay'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Saturation'), ('NetPay', 'Layer'), ('NetPay', 'Gross'), ('NetPay', 'Porosity'), ('Porosity', 'Saturation'), ('Permeability', 'Layer'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Saturation'), ('Water Saturation Irreducible', 'NetPay')]"
-6945.02,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Well', 'Bot'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]"
-6623.98,"['Well', 'Layer', 'Top', 'Bot', 'Gross', 'Saturation', 'NetPay', 'Porosity', 'Permeability', 'Water Saturation Irreducible']","[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay')]"
