Well,Layer,Top,Bot,Gross,Saturation,NetPay,Porosity,Permeability,Water Saturation Irreducible
2,LAYER10/0-1,2702.2,2703.0,0.8,OIL,0.8,18.72,13.75,33.59
2,LAYER10/0-1,2721.2,2722.6,1.4,OIL,1.4,18.79,16.19,33.64
3,LAYER10/0-1,2426.6,2427.8,1.2,OIL,1.1,18.82,30.11,33.15
3,LAYER10/0-1,2431.6,2432.6,1.0,OIL,1.0,20.36,72.22,32.63
3,LAYER10/0-1,2433.0,2434.6,1.6,OIL,1.6,18.8,21.05,36.72
3,LAYER10/0-1,2439.6,2440.8,1.2,OIL,1.2,19.95,16.03,30.9
8,LAYER10/0-1,2683.0,2684.6,1.6,OIL,1.6,18.97,11.67,35.24
8,LAYER10/0-1,2694.8,2696.2,1.4,OIL,1.4,18.35,38.59,25.0
8,LAYER10/0-1,2696.8,2697.8,1.0,OIL,1.0,18.89,32.21,25.3
8,LAYER10/0-1,2701.8,2702.3,0.5,OIL,0.5,17.96,13.08,30.48
8,LAYER10/0-1,2703.4,2705.0,1.6,OIL,1.6,18.16,21.96,29.66
11,LAYER10/0-1,2537.4,2538.0,0.6,OIL,0.6,16.23,29.41,38.03
11,LAYER10/0-1,2538.6,2539.0,0.4,OIL,0.4,15.2,20.94,38.4
11,LAYER10/0-1,2540.0,2541.0,1.0,OIL,1.0,15.45,20.42,35.3
13,LAYER10/1-3,2464.1,2465.0,0.9,OIL,0.9,17.0,45.3,18.02
13,LAYER10/1-3,2465.0,2465.4,0.4,OIL,0.4,21.6,26.85,17.88
13,LAYER10/1-3,2465.8,2466.2,0.4,OIL,0.4,22.5,33.0,15.93
13,LAYER10/1-3,2466.2,2466.6,0.4,OIL,0.4,16.5,50.66,19.94
14,LAYER10/1-3,2498.9,2500.4,1.5,OIL,1.5,18.25,13.17,27.52
14,LAYER10/1-3,2503.0,2504.6,1.6,OIL,1.6,16.7,18.0,18.81
14,LAYER10/1-3,2507.8,2508.2,0.4,OIL,0.4,21.0,9.7,20.49
14,LAYER10/1-3,2508.6,2509.3,0.7,OIL,0.7,19.04,21.51,19.14
15,LAYER10/1-3,2664.8,2665.4,0.6,OIL,0.6,19.73,20.58,34.75
15,LAYER10/1-3,2674.6,2676.6,2.0,OIL,2.0,19.14,12.02,34.38
20,LAYER10/1-3,2645.2,2646.4,1.2,OIL,1.2,19.24,14.69,31.55
20,LAYER10/1-3,2648.6,2649.2,0.6,OIL,0.6,19.78,21.0,27.0
20,LAYER10/1-3,2650.6,2651.2,0.6,OIL,0.6,19.6,16.93,30.2
20,LAYER10/1-3,2653.8,2654.6,0.8,OIL,0.8,19.93,12.76,31.5
20,LAYER10/1-3,2654.6,2655.6,1.0,OIL,1.0,20.44,30.33,27.2
20,LAYER10/1-3,2655.6,2656.2,0.6,OIL,0.6,19.13,23.48,26.1
20,LAYER10/1-3,2659.2,2659.8,0.6,OIL,0.6,20.73,41.13,24.9
20,LAYER10/1-3,2659.8,2660.4,0.6,OIL,0.6,20.87,42.33,25.2
20,LAYER10/1-3,2660.4,2661.0,0.6,OIL,0.31,20.4,31.0,25.8
21,LAYER10/1-3,2667.2,2668.0,0.8,OIL,0.8,18.7,11.7,35.5
29,LAYER10/1-3,2459.8,2462.6,2.8,OIL,2.7,17.55,48.94,46.5
30,LAYER10/1-3,2420.1,2420.8,0.7,OIL,0.7,16.7,60.84,24.1
32,LAYER10/1-3,2613.3,2615.4,2.1,OIL,1.99,20.27,22.11,34.88
48,LAYER12/1,3485.0,3485.4,0.4,OIL,0.4,20.28,30.41,30.89
49,LAYER12/1,2646.4,2647.0,0.6,OIL,0.6,17.72,13.61,35.46
49,LAYER12/1,2647.0,2647.6,0.6,OIL,0.6,17.53,20.83,30.31
49,LAYER12/1,2660.0,2660.4,0.4,OIL,0.4,18.32,14.34,33.72
54,LAYER12/1,2584.4,2585.0,0.6,OIL,0.6,18.31,17.94,30.37
54,LAYER12/1,2629.4,2629.8,0.4,OIL,0.4,19.76,15.9,35.0
64,LAYER12/3-5,3508.6,3509.2,0.6,OIL,0.6,23.64,33.76,28.03
64,LAYER12/3-5,3511.4,3512.0,0.6,OIL,0.44,19.85,16.6,26.84
64,LAYER12/3-5,3523.5,3524.0,0.5,OIL,0.5,20.59,23.41,28.63
