Well;Layer;Top;Bot;Gross;Saturation;NetPay;Porosity;Permeability;Water Saturation Irreducible
1;LAYER10/0-1;2822,40;2823,80;1,40;OIL;0,50;17,20;2,00;32,37
1;LAYER10/0-1;2826,20;2827,00;0,80;OIL;0,80;15,13;0,47;42,95
2;LAYER10/0-1;2693,80;2694,40;0,60;OIL;0,60;17,50;1,98;45,53
2;LAYER10/0-1;2696,80;2697,80;1,00;OIL;1,00;17,36;4,05;47,57
2;LAYER10/0-1;2702,20;2703,00;0,80;OIL;0,80;18,72;13,75;33,59
2;LAYER10/0-1;2703,40;2703,80;0,40;OIL;0,40;18,61;5,79;37,46
2;LAYER10/0-1;2704,40;2705,40;1,00;OIL;1,00;17,71;2,85;47,93
2;LAYER10/0-1;2706,60;2707,00;0,40;OIL;0,40;18,54;5,29;40,16
2;LAYER10/0-1;2711,80;2713,60;1,80;OIL;1,80;18,61;10,37;38,67
2;LAYER10/0-1;2715,20;2716,00;0,80;OIL;0,80;19,00;8,49;37,45
2;LAYER10/0-1;2721,20;2722,60;1,40;OIL;1,40;18,79;16,19;33,64
3;LAYER10/0-1;2426,60;2427,80;1,20;OIL;1,10;18,82;30,11;33,15
3;LAYER10/0-1;2427,80;2430,80;3,00;OIL;3,00;18,77;10,19;34,85
3;LAYER10/0-1;2431,60;2432,60;1,00;OIL;1,00;20,36;72,22;32,63
3;LAYER10/0-1;2433,00;2434,60;1,60;OIL;1,60;18,80;21,05;36,72
3;LAYER10/0-1;2434,60;2436,20;1,60;OIL;1,10;18,25;4,57;33,37
3;LAYER10/0-1;2439,60;2440,80;1,20;OIL;1,20;19,95;16,03;30,90
4;LAYER10/0-1;2670,60;2671,40;0,80;OIL;0,80;14,96;0,48;53,68
4;LAYER10/0-1;2673,40;2674,40;1,00;OIL;1,00;15,10;0,58;49,22
4;LAYER10/0-1;2675,60;2676,00;0,40;OIL;0,40;15,95;0,95;46,22
4;LAYER10/0-1;2679,20;2679,60;0,40;OIL;0,40;16,25;1,34;45,83
5;LAYER10/0-1;2692,00;2693,20;1,20;OIL;0,65;16,10;0,47;59,66
5;LAYER10/0-1;2701,20;2702,60;1,40;OIL;1,40;16,05;0,75;60,58
5;LAYER10/0-1;2703,10;2703,50;0,40;OIL;0,40;17,12;1,75;43,80
6;LAYER10/0-1;2710,00;2710,80;0,80;OIL;0,80;14,84;0,59;55,78
6;LAYER10/0-1;2711,20;2713,30;2,10;OIL;2,10;14,88;0,75;51,72
6;LAYER10/0-1;2717,30;2720,00;2,70;OIL;2,59;14,93;0,73;48,78
6;LAYER10/0-1;2721,60;2723,20;1,60;OIL;1,60;16,39;1,10;45,86
6;LAYER10/0-1;2724,00;2725,00;1,00;OIL;1,00;15,56;0,76;49,62
6;LAYER10/0-1;2726,60;2727,40;0,80;OIL;0,80;16,71;1,09;47,19
6;LAYER10/0-1;2727,40;2728,00;0,60;OIL;0,60;16,50;1,09;43,37
6;LAYER10/0-1;2729,00;2729,70;0,70;OIL;0,70;15,27;0,42;60,09
6;LAYER10/0-1;2731,00;2731,80;0,80;OIL;0,80;15,75;0,52;51,41
6;LAYER10/0-1;2733,20;2733,60;0,40;OIL;0,40;15,78;0,88;53,02
6;LAYER10/0-1;2734,00;2734,40;0,40;OIL;0,40;15,62;0,87;52,81
6;LAYER10/0-1;2735,80;2737,20;1,40;OIL;1,40;16,68;1,56;42,78
7;LAYER10/0-1;2684,20;2684,80;0,60;OIL;0,60;15,95;0,45;62,40
7;LAYER10/0-1;2693,20;2693,60;0,40;OIL;0,40;14,50;0,60;58,00
7;LAYER10/0-1;2693,60;2694,00;0,40;OIL;0,40;14,60;0,40;63,60
